student_id,student_name,team_id,tasks_assigned,tasks_completed,avg_task_hours,completion_rate,commits,prs_opened,prs_merged,code_lines_changed,pr_success_rate,peer_rating,meetings_attended,total_meetings,attendance_rate,week1_progress,week2_progress,week3_progress,week4_progress,progress_improvement,contribution_score,at_risk,risk_reason
S012,Kavya,T03,9,5,3.98,0.5555555555555556,10,3,2,449.0,0.6666666666666666,2.91,6.0,10,0.6,8,20,42,63,55,21.428524777753047,True,Low Contribution
S013,Dev,T03,8,8,5.66,1.0,19,6,5,476.0,0.8333333333333334,3.61,10.0,10,1.0,15,32,59,75,60,65.27934367610816,False,
S014,Pooja,T03,8,6,3.34,0.75,9,3,3,259.0,1.0,4.13,5.0,10,0.5,21,45,61,66,45,35.663525389619366,True,Low Contribution
S015,Manav,T03,8,5,8.41,0.625,11,3,3,50.0,1.0,3.23,5.0,10,0.5,18,35,50,68,50,24.714598724659172,True,Low Contribution
S016,Ira,T04,14,10,3.04,0.7142857142857143,24,6,6,563.0,1.0,3.58,9.0,10,0.9,22,49,70,81,59,56.23771334897737,False,
S017,Ayaan,T04,9,8,7.46,0.8888888888888888,26,7,6,271.0,0.8571428571428571,4.48,7.0,10,0.7,18,33,63,69,51,60.394501958789526,False,
S018,Neha,T04,7,5,6.03,0.7142857142857143,13,4,3,360.0,0.75,3.97,5.0,10,0.5,20,42,47,61,41,33.98522376677801,True,Low Contribution
S019,Yash,T04,14,8,3.59,0.5714285714285714,23,7,5,214.0,0.7142857142857143,3.13,9.0,10,0.9,17,42,65,90,73,47.24812621093841,False,
S020,Ritika,T04,7,5,3.89,0.7142857142857143,14,5,5,69.0,1.0,3.39,8.0,10,0.8,21,56,89,97,76,49.43311980747437,False,
S021,Aditya,T05,12,7,4.05,0.5833333333333334,24,11,8,367.0,0.7272727272727273,2.18,5.0,10,0.5,18,28,44,55,37,22.24152052977708,True,Low Contribution
S022,Saanvi,T05,13,10,2.19,0.7692307692307693,23,9,8,264.0,0.8888888888888888,4.5,5.0,10,0.5,40,49,66,83,43,54.65992875225464,False,
S023,Reyansh,T05,7,4,4.61,0.5714285714285714,17,7,4,291.0,0.5714285714285714,2.51,8.0,10,0.8,18,34,55,65,47,28.791077510846517,True,Low Contribution
S024,Maya,T05,7,6,6.62,0.8571428571428571,20,8,5,440.0,0.625,3.595,7.0,10,0.7,22,39,73,100,78,60.38734477676702,False,
S025,Tanvi,T05,14,9,3.22,0.6428571428571429,35,17,16,875.0,0.9411764705882352,4.55,8.0,10,0.8,23,33,49,66,43,65.16868651439299,False,
S026,Harsh,T06,6,5,4.53,0.8333333333333334,15,5,4,653.0,0.8,2.1,7.0,10,0.7,18,37,59,71,53,37.14929688222777,True,Low Contribution
S027,Riya,T06,9,7,7.76,0.7777777777777778,13,5,4,213.0,0.8,2.76,7.0,10,0.7,17,44,68,96,79,44.50156848636693,False,
S028,Parth,T06,9,9,5.7,1.0,39,12,12,792.0,1.0,4.35,9.0,10,0.9,14,38,49,70,56,82.03761294327754,False,
S029,Ishita,T06,10,8,6.87,0.8,30,9,6,820.0,0.6666666666666666,3.72,7.0,10,0.7,10,24,54,74,64,57.92503302607074,False,
S030,Karan,T06,14,9,3.38,0.6428571428571429,28,9,9,684.0,1.0,4.15,4.0,10,0.4,24,25,47,62,38,42.72893935630231,True,Low Attendance
S031,Nandini,T07,14,14,2.0,1.0,41,18,15,554.0,0.8333333333333334,4.57,9.0,10,0.9,26,40,65,88,62,90.95583038869259,False,
S032,Rahul,T07,6,5,5.38,0.8333333333333334,17,6,4,449.0,0.6666666666666666,3.63,6.0,10,0.6,27,37,56,82,55,49.10786841027321,False,
S033,Aditi,T07,7,5,5.32,0.7142857142857143,21,8,6,754.0,0.75,3.89,4.0,10,0.4,24,58,76,74,50,43.02795709952291,True,Low Attendance
S034,Om,T07,12,12,4.27,1.0,39,13,11,582.0,0.8461538461538461,3.35,9.0,10,0.9,13,34,57,74,61,74.69056949989653,False,
S035,Priya,T07,10,4,5.09,0.4,9,2,2,352.0,1.0,2.6,8.0,10,0.8,21,44,65,84,63,23.731043231543406,True,Low Contribution; Low Task Completion
S036,Siddharth,T08,14,9,4.71,0.6428571428571429,29,12,12,752.0,1.0,3.76,10.0,10,1.0,19,42,48,55,36,55.07489271868484,False,
S037,Tara,T08,14,6,3.91,0.4285714285714285,23,6,6,549.0,1.0,4.1,9.0,10,0.9,19,46,66,74,55,45.081274151343116,True,Low Task Completion
S038,Varun,T08,12,8,2.63,0.6666666666666666,20,8,8,818.0,1.0,2.86,8.0,10,0.8,23,33,56,69,46,42.95146695905486,False,
S039,Zara,T08,10,9,4.03,0.9,25,6,4,406.0,0.6666666666666666,3.53,7.0,10,0.7,22,42,71,83,61,57.95169121923329,False,
S040,Krish,T08,13,7,6.71,0.5384615384615384,20,5,5,411.0,1.0,3.38,5.0,10,0.5,35,65,85,100,65,40.43860596598965,False,
